page,status,score,issues
/404,FAIL,21,"Contains <meta name=""robots"" content=""noindex""> | Missing meta property=""og:title"" | Missing meta property=""og:description"" | Missing meta property=""og:url"" | Missing meta property=""og:type"" | Missing meta name=""twitter:card"" | Missing meta name=""twitter:title"" | Missing meta name=""twitter:description"""
/googlec257c31c246db1c1,FAIL,0,"Missing or empty <title> | Missing <meta name=""description""> | Missing <link rel=""canonical""> | Missing meta property=""og:title"" | Missing meta property=""og:description"" | Missing meta property=""og:url"" | Missing meta property=""og:type"" | Missing meta name=""twitter:card"" | Missing meta name=""twitter:title"" | Missing meta name=""twitter:description"" | No JSON-LD structured data found | HTML appears very small; check server-rendering"
/404/,FAIL,21,"Contains <meta name=""robots"" content=""noindex""> | Missing meta property=""og:title"" | Missing meta property=""og:description"" | Missing meta property=""og:url"" | Missing meta property=""og:type"" | Missing meta name=""twitter:card"" | Missing meta name=""twitter:title"" | Missing meta name=""twitter:description"""
/,PASS,100,
/about/,PASS,100,
/cosmictime/,PASS,100,
/donate/,PASS,100,
/contact/,PASS,100,
/explore/,PASS,100,
/itihasa/,PASS,100,
/our-privacy-policy/,PASS,100,
/our-cookie-policy/,PASS,100,
/library-audit/,PASS,100,
/post-deploy-audit/,PASS,100,
/privacy-policy/,PASS,100,
/puranas/,PASS,100,
/religion-conversion/,PASS,100,
/sanatanadharma/,PASS,100,
/terms-of-service/,PASS,100,
/sanksheparamayana/,PASS,100,
/upanishads/,PASS,100,
/vedic-philosophy/,PASS,100,
/vedas/,PASS,100,
/vedic-science/,PASS,100,
/_not-found/,FAIL,21,"Contains <meta name=""robots"" content=""noindex""> | Missing meta property=""og:title"" | Missing meta property=""og:description"" | Missing meta property=""og:url"" | Missing meta property=""og:type"" | Missing meta name=""twitter:card"" | Missing meta name=""twitter:title"" | Missing meta name=""twitter:description"""
/itihasa/bhagavadgita/,PASS,100,
/itihasa/mahabharata/,PASS,100,
/itihasa/ramayana/,PASS,100,
/puranas/agni/,PASS,100,
/puranas/bhavishya/,PASS,100,
/puranas/bhagavata/,PASS,100,
/puranas/brahma/,PASS,100,
/puranas/brahmanda/,PASS,100,
/puranas/brahmavaivarta/,PASS,100,
/puranas/kurma/,PASS,100,
/puranas/garuda/,PASS,100,
/puranas/linga/,PASS,100,
/puranas/markandeya/,PASS,100,
/puranas/matsya/,PASS,100,
/puranas/narada/,PASS,100,
/puranas/padma/,PASS,100,
/puranas/skanda/,PASS,100,
/puranas/shiva/,PASS,100,
/puranas/varaha/,PASS,100,
/puranas/vamana/,PASS,100,
/puranas/vishnu/,PASS,100,
/upanishads/aitareya/,PASS,100,
/upanishads/chandogya/,PASS,100,
/upanishads/brihadaranyaka/,PASS,100,
/upanishads/isha/,PASS,100,
/upanishads/kaushitaki/,PASS,100,
/upanishads/katha/,PASS,100,
/upanishads/kena/,PASS,100,
/upanishads/maitri/,PASS,100,
/upanishads/mandukya/,PASS,100,
/upanishads/mundaka/,PASS,100,
/upanishads/prashna/,PASS,100,
/upanishads/shvetashvatara/,PASS,100,
/upanishads/taittiriya/,PASS,100,
/vedas/atharvaveda/,PASS,100,
/vedas/rigveda/,PASS,100,
/vedas/yajurveda/,PASS,100,
/vedas/samaveda/,PASS,100,
/vedic-philosophy/advaita/,PASS,100,
/vedic-philosophy/bhakti/,PASS,100,
/vedic-philosophy/dharma/,PASS,100,
/vedic-philosophy/karma/,PASS,100,
/vedic-philosophy/index/,PASS,100,
/vedic-philosophy/moksha/,PASS,100,
/vedic-philosophy/purushartha/,PASS,100,
/vedic-philosophy/yoga/,PASS,100,
/vedic-philosophy/samsara/,PASS,100,
/vedic-science/astronomy/,PASS,100,
/vedic-science/mathematics/,PASS,100,
/vedic-science/medicine/,PASS,100,
/itihasa/bhagavadgita/chapter1/,PASS,100,
/itihasa/bhagavadgita/chapter10/,PASS,100,
/itihasa/bhagavadgita/chapter11/,PASS,100,
/itihasa/bhagavadgita/chapter12/,PASS,100,
/itihasa/bhagavadgita/chapter13/,PASS,100,
/itihasa/bhagavadgita/chapter14/,PASS,100,
/itihasa/bhagavadgita/chapter15/,PASS,100,
/itihasa/bhagavadgita/chapter16/,PASS,100,
/itihasa/bhagavadgita/chapter17/,PASS,100,
/itihasa/bhagavadgita/chapter18/,PASS,100,
/itihasa/bhagavadgita/chapter2/,PASS,100,
/itihasa/bhagavadgita/chapter3/,PASS,100,
/itihasa/bhagavadgita/chapter4/,PASS,100,
/itihasa/bhagavadgita/chapter6/,PASS,100,
/itihasa/bhagavadgita/chapter5/,PASS,100,
/itihasa/bhagavadgita/chapter7/,PASS,100,
/itihasa/bhagavadgita/chapter8/,PASS,100,
/itihasa/bhagavadgita/chapter9/,PASS,100,
/itihasa/mahabharata/adi-parva/,PASS,100,
/itihasa/mahabharata/vana-parva/,PASS,100,
/itihasa/mahabharata/sabha-parva/,PASS,100,
/itihasa/ramayana/aranya-kanda/,PASS,100,
/itihasa/ramayana/ayodhya-kanda/,PASS,100,
/itihasa/ramayana/kishkinda-kanda/,PASS,100,
/itihasa/ramayana/bala-kanda/,PASS,100,
/itihasa/ramayana/sundara-kanda/,PASS,100,
/itihasa/ramayana/uttara-kanda/,PASS,100,
/itihasa/ramayana/yuddha-kanda/,PASS,100,
/vedas/atharvaveda/book1/,PASS,100,
/vedas/atharvaveda/book10/,PASS,100,
/vedas/atharvaveda/book2/,PASS,100,
/vedas/atharvaveda/book3/,PASS,100,
/vedas/atharvaveda/book5/,PASS,100,
/vedas/atharvaveda/book4/,PASS,100,
/vedas/atharvaveda/book6/,PASS,100,
/vedas/atharvaveda/book7/,PASS,100,
/vedas/atharvaveda/book8/,PASS,100,
/vedas/rigveda/madala1/,PASS,100,
/vedas/atharvaveda/book9/,PASS,100,
/vedas/rigveda/madala2/,PASS,100,
/vedas/rigveda/madala10/,PASS,100,
/vedas/rigveda/madala3/,PASS,100,
/vedas/rigveda/madala4/,PASS,100,
/vedas/rigveda/madala5/,PASS,100,
/vedas/rigveda/madala6/,PASS,100,
/vedas/rigveda/madala7/,PASS,100,
/vedas/rigveda/madala8/,PASS,100,
/vedas/rigveda/madala9/,PASS,100,
/vedas/yajurveda/chapter1/,PASS,100,
/vedas/yajurveda/chapter10/,PASS,100,
/vedas/yajurveda/chapter3/,PASS,100,
/vedas/yajurveda/chapter2/,PASS,100,
/vedas/yajurveda/chapter4/,PASS,100,
/vedas/yajurveda/chapter5/,PASS,100,
/vedas/yajurveda/chapter6/,PASS,100,
/vedas/yajurveda/chapter8/,PASS,100,
